year,name,affiliation,country,role,Accomodation Chair,Exhibition Chair,Finance Chair,Local Arrangement Chair,Local Organization Chair,Local Organization Committee,Organization Chair,PacificVAST Workshop Chair,Paper Chair,Poster Chair,Program Chair,Program Committee,Publication Chair,Publicity Chair,Registration Chair,Sponsorship Chair,Steering Committee,Student Volunteer Chair,Symposium Chair,Visual Storytelling Contest Chair,Visualization Notes Chair,Visualization Notes Committee,Webmaster & Design Chair
2016,Christoph Garth,University of Kaiserslautern,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Christoph Garth,University of Kaiserslautern,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Chuan-Kai Yang,National Taiwan University of Science and Technology,TW,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2016,Chuan-Kai Yang,National Taiwan University of Science and Technology,TW,Symposium Chair,,,,,,,,,,,,,,,,,,,1,,,,
2009,Chuck Hansen,University of Utah,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Chuck Hansen,University of Utah,US,Paper Chair,,,,,,,,,1,,,,,,,,,,,,,,
2014,Chun-Cheng Lin,National Chiao Tung University,TW,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Chun-Cheng Lin,National Chiao Tung University,TW,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Chun-Cheng Lin,National Chiao Tung University,TW,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Chun-Cheng Lin,National Chiao Tung University,TW,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2010,Chun-Houh Chen,Academic Sinica,TW,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Chun-Houh Chen,Academic Sinica,TW,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Conglei Shi,Hong Kong University of Science & Technology,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
