year,name,affiliation,country,role,Accomodation Chair,Exhibition Chair,Finance Chair,Local Arrangement Chair,Local Organization Chair,Local Organization Committee,Organization Chair,PacificVAST Workshop Chair,Paper Chair,Poster Chair,Program Chair,Program Committee,Publication Chair,Publicity Chair,Registration Chair,Sponsorship Chair,Steering Committee,Student Volunteer Chair,Symposium Chair,Visual Storytelling Contest Chair,Visualization Notes Chair,Visualization Notes Committee,Webmaster & Design Chair
2017,Min Chen,University of Oxford,GB,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Ming Ouhyoung,National Taiwan University,TW,Symposium Chair,,,,,,,,,,,,,,,,,,,1,,,,
2016,Ming-Te Chi,National Chengchi University,TW,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2016,Nai-Wei Lo,National Taiwan University of Science and Technology,TW,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2015,Nan Cao ,IBM T.J. Watson Research Center,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2008,Naohisa Sakamoto,KGT Inc.,JP,Registration Chair,,,,,,,,,,,,,,,1,,,,,,,,
2014,Naohisa Sakamoto,Kyoto University,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Naohisa Sakamoto,Kyoto University,JP,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2015,Naohisa Sakamoto,Kyoto University,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Naohisa Sakamoto,Kyoto University,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Naohisa Sakamoto,Kobe University,KR,Visualization Notes Chair,,,,,,,,,,,,,,,,,,,,,1,,
2013,Nathalie Henry Riche,Microsoft Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Nathalie Henry Riche,Microsoft Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Nathalie Henry Riche,Microsoft Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Niklas Elmqvist,Purdue University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Niklas Elmqvist,Purdue University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Niklas Elmqvist,Purdue University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Niklas Elmqvist,Purdue University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Niklas Elmqvist,Purdue University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Niklas Elmqvist,Purdue University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Niu Jianwei,Beihang University,CN,Finance Chair,,,1,,,,,,,,,,,,,,,,,,,,
2008,Nobuyuki Kukimoto,KGT Inc.,JP,Publicity Chair,,,,,,,,,,,,,,1,,,,,,,,,
2010,Oliver Deussen,University of Konstanz,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Oliver Deussen,University of Konstanz,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Panpan Xu,Bosch Research,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Panpan Xu,Bosch Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Panpan Xu,Bosch Research,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2011,Pedro V. Sander,Hong Kong University of Science & Technology,HK,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2009,Peihong Guo,Peking University,CN,Student Volunteer Chair,,,,,,,,,,,,,,,,,,1,,,,,
2009,Peter Eades,University of Sydney,AU,Program Chair,,,,,,,,,,,1,,,,,,,,,,,,
2010,Peter Eades,University of Sydney,AU,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Peter Eades,The University of Sydney,AU,Symposium Chair,,,,,,,,,,,,,,,,,,,1,,,,
2014,Peter Eades,The University of Sydney,AU,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Petra Isenberg,INRIA,FR,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Petra Mutzel,TU Dortmund,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Pheng-Ann Heng,University of Hong Kong,HK,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Pheng-Ann Heng,Chinese University of Hong Kong,HK,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Qinping Zhao,Beihang University,CN,Symposium Chair,,,,,,,,,,,,,,,,,,,1,,,,
2017,Quang Vinh Nguyen,University of Western Sydney,AU,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2013,Quang Vinh Nguyen,University of Western Sydney,AU,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2015,Quang Vinh Nguyen,University of Western Sydney,AU,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Quang Vinh Nguyen,University of Western Sydney,AU,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2012,Qunsheng Peng,Zhejiang University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Qunsheng Peng,Zhejiang University,CN,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2010,Raghu Machiraju,Ohio State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Renato Pajarola,University of Zurich,CH,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Renato Pajarola,University of Zurich,CH,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Renato Pajarola,University of Zurich,CH,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Rita Borgo,Swansea University,GB,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Rita Borgo,Swansea University,GB,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Rita Borgo,Swansea University,GB,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Rita Borgo,Swansea University,GB,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2011,Roberto Tamassia,Brown University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Roberto Tamassia,Brown University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Roberto Tamassia,Brown University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Ronald Peikert,ETH Zurich,CH,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Ronghua Liang,Zhejiang University of Technology,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Ronghua Liang,Zhejiang University of Technology,CN,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2015,Ronghua Liang,Zhejiang University of Technology,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Ronghua Liang,Zhejiang University of Technology,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Ross Maciejewski,Arizona State University,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Roxana Bujack ,Los Alamos National Laboratory,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Rudiger Westermann,Technical University of Munich,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Rudiger Westermann,Technical University of Munich,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Rudiger Westermann,Technical University of Munich,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Satoshi Tanaka,Ritsumeikan University,JP,Local Arrangement Chair,,,,1,,,,,,,,,,,,,,,,,,,
2014,Satoshi Tanaka,Ritsumeikan University,JP,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2014,Satoshi Tanaka,Ritsumeikan University,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Sehi L'Yi,Seoul National University,KR,Student Volunteer Chair,,,,,,,,,,,,,,,,,,1,,,,,
2008,Seokhee Hong,University of Sydney,AU,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Seokhee Hong,University of Sydney,AU,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2009,Seokhee Hong,University of Sydney,AU,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Seokhee Hong,University of Sydney,AU,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2010,Seokhee Hong,University of Sydney,AU,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Seokhee Hong,University of Sydney,AU,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2011,Seokhee Hong,University of Sydney,AU,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,SeokHee Hong,University of Sydney,AU,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2012,Seokhee Hong,University of Sydney,AU,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2013,Seokhee Hong,University of Sydney,AU,Program Chair,,,,,,,,,,,1,,,,,,,,,,,,
2013,Seokhee Hong,University of Sydney,AU,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2014,Seokhee Hong,University of Sydney,AU,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2015,Seokhee Hong,University of Sydney,AU,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2016,Seokhee Hong,University of Sydney,AU,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Seokhee Hong,University of Sydney,AU,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2017,Seokhee Hong,University of Sydney,AU,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Seokhee Hong,University of Sydney,AU,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2013,Sheelagh Carpendale,University of Calgary,CA,Program Chair,,,,,,,,,,,1,,,,,,,,,,,,
2008,Shi Xia Liu,IBM China Research Laboratory,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Shi Xia Liu,IBM China Research Laboratory,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Shi Xia Liu,IBM China Research Laboratory,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Shi Xia Liu,Microsoft Research Asia,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Shi Xia Liu,Microsoft Research Asia,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Shigeo Takahashi,University of Tokyo,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Shigeo Takahashi,University of Tokyo,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Shigeo Takahashi,University of Tokyo,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Shigeo Takahashi,University of Tokyo,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Shigeo Takahashi,University of Tokyo,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Shigeo Takahashi,University of Tokyo,JP,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2014,Shigeo Takahashi,University of Tokyo,JP,Program Chair,,,,,,,,,,,1,,,,,,,,,,,,
2015,Shigeo Takahashi,University of Tokyo,JP,Paper Chair,,,,,,,,,1,,,,,,,,,,,,,,
2016,Shigeo Takahashi,University of Aizu,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Shin-ichiro Mori,University of Fukui,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Shin-ichiro Mori,University of Fukui,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Shin-ichiro Mori,University of Fukui,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Shin-ichiro Mori,University of Fukui,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Shin-ichiro Mori,University of Fukui,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2013,Shixia Liu,Microsoft Research Asia,CN,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2015,Shixia Liu,Tsinghua University,CN,Paper Chair,,,,,,,,,1,,,,,,,,,,,,,,
2017,Shixia Liu,Tsinghua University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Siming Chen,Peking University,CN,Publicity Chair,,,,,,,,,,,,,,1,,,,,,,,,
2012,Song Zhang,Mississippi State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Soonam Kang,CEWIT-Korea,KR,Local Organization Committee,,,,,,1,,,,,,,,,,,,,,,,,
2011,Stefan Bruckner,Vienna University of Technology,AT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Stefan Bruckner,Vienna University of Technology,AT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Stefan Bruckner,Vienna University of Technology,AT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Stefan Bruckner,University of Bergen,NO,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Stefan Bruckner,University of Bergen,NO,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Stefan Bruckner,University of Bergen,NO,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Stephan Kobourov,University of Arizona,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Stephan Kobourov,University of Arizona,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Stephen Kobourov,University of Arizona,US,Program Chair,,,,,,,,,,,1,,,,,,,,,,,,
2014,Stephen Kobourov,University of Arizona,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Stephen Kobourov,University of Arizona,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Stephen Kobourov,University of Arizona,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Stephen Kobourov,University of Arizona,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Stephen Kobourov,University of Arizona,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2010,Stephen North,AT&T Research,US,Program Chair,,,,,,,,,,,1,,,,,,,,,,,,
2013,Stephen North,AT&T Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Stephen North,Graphviz,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Stephen North,Graphviz,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Sungahn Ko,UNIST,KR,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Sungahn Ko,UNIST,KR,Sponsorship Chair,,,,,,,,,,,,,,,,1,,,,,,,
2012,Sung-Eui Yoon,KAIST,KR,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Sung-Eui Yoon,KAIST,KR,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Sung-Eui Yoon,KAIST,KR,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Sung-Hee Kim,University of British Columbia,CA,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2008,Takafumi Saito,Tokyo University of Agriculture & Tech.,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Takayuki Itoh,Ochanomizu University,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Takayuki Itoh,Ochanomizu University,JP,Registration Chair,,,,,,,,,,,,,,,1,,,,,,,,
2009,Takayuki Itoh,Ochanomizu University,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Takayuki Itoh,Ochanomizu University,JP,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2010,Takayuki Itoh,Ochanomizu University,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Takayuki Itoh,Ochanomizu University,JP,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2011,Takayuki Itoh,Ochanomizu University,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Takayuki Itoh,Ochanomizu University,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Takayuki Itoh,Ochanomizu University,JP,Organization Chair,,,,,,,1,,,,,,,,,,,,,,,,
2014,Takayuki Itoh,Ochanomizu University,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Takayuki Itoh,Ochanomizu University,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Takayuki Itoh,Ochanomizu University,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Takayuki Itoh,Ochanomizu University,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Takayuki Itoh,Ochanomizu University,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Teng-Yok Lee,Amazon.com,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Teng-Yok Lee,Mitsubishi Electric Research Laboratories,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2017,Teng-Yok Lee,Mitsubishi Electric Research Laboratories,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2009,Thomas Ertl,University of Stuttgart,DE,Program Chair,,,,,,,,,,,1,,,,,,,,,,,,
2010,Thomas Ertl,University of Stuttgart,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Thomas Ertl,University of Stuttgart,DE,Symposium Chair,,,,,,,,,,,,,,,,,,,1,,,,
2013,Thomas Ertl,University of Stuttgart,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Thomas Ertl,University of Stuttgart,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Thomas Ertl,University of Stuttgart,DE,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Thomas Ertl,University of Stuttgart,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Thomas Schultz,University of Bonn,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Thomas Schultz,University of Bonn,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Thomas Wischgoll,Wright State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Thomas Wischgoll,Wright State University,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Thomas Wischgoll,Wright State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Thomas Wischgoll,Wright State University,US,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Thomas Wischgoll,Wright State University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Tim Dwyer,Microsoft Research,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Tim Dwyer,Monash University,AU,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Tim Dwyer,Monash University,AU,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Tim Dwyer,Monash University,AU,Visualization Notes Chair,,,,,,,,,,,,,,,,,,,,,1,,
2017,Tim Dwyer,Monash University,CA,Paper Chair,,,,,,,,,1,,,,,,,,,,,,,,
2012,Timo Ropinski,Link?ping University,SE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Timo Ropinski,Link?ping University,SE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Timo Ropinski,Link?ping University,SE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Timo Ropinski,Link?ping University,SE,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2012,Tino Weinkauf,MPI Saarbruecken,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Tobias Schreck ,Graz University of Technology,AT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Tong-Yee Lee,National Cheng-Kung University,TW,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Tong-Yee Lee,National Cheng-Kung University,TW,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Tong-Yee Lee,National Cheng-Kung University,TW,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Tong-Yee Lee,National Cheng-Kung University,TW,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Torsten M?ller,University of Vienna,AT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Torsten M?ller,Simon Fraser University,CA,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Torsten M?ller,Simon Fraser University,CA,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Torsten M?ller,Simon Fraser University,CA,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Torsten M?ller,University of Vienna,AT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2008,Ulrik Brandes,University of Konstanz,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Ulrik Brandes,University of Konstanz,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Ulrik Brandes,University of Konstanz,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Ulrik Brandes,University of Konstanz,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Ulrik Brandes,University of Konstanz,DE,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Ulrik Brandes,University of Konstanz,DE,Program Chair,,,,,,,,,,,1,,,,,,,,,,,,
2013,Vijay Natarajan,Indian Institute of Science,IN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Vijay Natarajan,Indian Institute of Science,IN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Vijay Natarajan,Indian Institute of Science,IN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Walter Didimo,University of Perugia,IT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Walter Didimo,University of Perugia,IT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Walter Didimo,University of Perugia,IT,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Wei Chen,Zhejiang University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Wei Chen,Zhejiang University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Wei Chen,Zhejiang University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Wei Chen,Zhejiang University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Wei Chen,Zhejiang University,CN,Program Chair,,,,,,,,,,,1,,,,,,,,,,,,
2014,Wei Chen,Zhejiang University,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Wei Chen,Zhejiang University,CN,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2015,Wei Chen,Zhejiang University,CN,Symposium Chair,,,,,,,,,,,,,,,,,,,1,,,,
2015,Wei Chen,Zhejiang University,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Wei Chen,Zhejiang University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Wei Chen,Zhejiang University,CN,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2017,Wei Chen,Zhejiang University,CN,PacificVAST Workshop Chair,,,,,,,,1,,,,,,,,,,,,,,,
2017,Wei Chen,Zhejiang University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Wei Chen,Zhejiang University,CN,Steering Committee,,,,,,,,,,,,,,,,,1,,,,,,
2014,Weiwei Cui,Microsoft Research Asia,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Weiwei Cui,Microsoft Research Asia,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Weiwei Cui,Microsoft Research Asia,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Weiwei Cui,Microsoft Research Asia,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Wen-Kai Tai,National Taiwan University of Science and Technology,TW,Sponsorship Chair,,,,,,,,,,,,,,,,1,,,,,,,
2011,Wenping Wang,University of Hong Kong,HK,Symposium Chair,,,,,,,,,,,,,,,,,,,1,,,,
2017,Won-Ki Jeong,UNIST,KR,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2011,Xavier Tricoche,Purdue University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Xavier Tricoche,Purdue University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2013,Xavier Tricoche,Purdue University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2015,Xavier Tricoche,Purdue University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2016,Xavier Tricoche,Purdue University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2017,Xavier Tricoche,Purdue University,US,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Xianghua Ying,Peking University,CN,Finance Chair,,,1,,,,,,,,,,,,,,,,,,,,
2009,Xiaoru Yuan,Peking University,CN,Local Organization Chair,,,,,1,,,,,,,,,,,,,,,,,,
2009,Xiaoru Yuan,Peking University,CN,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2009,Xiaoru Yuan,Peking University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Xiaoru Yuan,Peking University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2011,Xiaoru Yuan,Peking University,CN,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2011,Xiaoru Yuan,Peking University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2012,Xiaoru Yuan,Peking University,CN,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2012,Xiaoru Yuan,Peking University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Xiaoru Yuan,Peking University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Xiaoru Yuan,Peking University,CN,Visualization Notes Chair,,,,,,,,,,,,,,,,,,,,,1,,
2014,Xiaoru Yuan,Peking University,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Xiaoru Yuan,Peking University,CN,PacificVAST Workshop Chair,,,,,,,,1,,,,,,,,,,,,,,,
2015,Xiaoru Yuan,Peking University,CN,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2016,Xiaoru Yuan,Peking University,CN,Paper Chair,,,,,,,,,1,,,,,,,,,,,,,,
2017,Xiaoru Yuan,Peking University,CN,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Xiaowu Chen,Beihang University,CN,Local Organization Chair,,,,,1,,,,,,,,,,,,,,,,,,
2009,Xiaowu Chen,Beihang University,CN,Poster Chair,,,,,,,,,,1,,,,,,,,,,,,,
2008,Xiaoyang Mao,University of Yamanashi,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2009,Xiaoyang Mao,University of Yamanashi,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2010,Xiaoyang Mao,University of Yamanashi,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Xiaoyang Mao,University of Yamanashi,JP,Program Committee,,,,,,,,,,,,1,,,,,,,,,,,
2014,Xiaoyang Mao,University of Yamanashi,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
2015,Xiaoyang Mao,University of Yamanashi,JP,Visualization Notes Committee,,,,,,,,,,,,,,,,,,,,,,1,
